Reactant_Count,Product_Count,Reactant_Name_1,Reactant_ID_1,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Reactant_Name_2,Reactant_ID_2,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Product_Name_1,Product_ID_1,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Product_Name_2,Product_ID_2,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient
2,1,"1-Propene,-2-methyl-",115-11-7,56.11,0,0,23,0,0,1,0,4,0,N/A,12.086923076923076,1412.3776470588234,0.50,139.51238095238097,1.582,"1-Propanol,-2-methyl-",78-83-1,74.12,1,0,17,1,1,1,0,5,0,N/A,16.786666666666665,4295.00,1.70,387.13352941176464,0.635,"Propane,-1-(1,1-dimethylethoxy)-2-methyl-",33021-02-2,130.23,3,0,69,0,1,1,0,9,0,N/A,N/A,2561.10,N/A,579.71,2.458,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,"1-Propene,-2-methyl-",115-11-7,56.11,0,0,23,0,0,1,0,4,0,N/A,12.086923076923076,1412.3776470588234,0.50,139.51238095238097,1.582,Water,7732-18-5,18.015,0,0,0,1,1,1,0,1,0,N/A,18.532187500000003,5225.368421052632,1.80,647.14,N/A,"2-Propanol,-2-methyl-",75-65-0,74.12,0,0,25,1,1,1,0,5,0,N/A,15.126250000000002,1676.3333333333333,1.70,213.38684210526313,0.777,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,"1-Propanol,-2-methyl-",78-83-1,74.12,1,0,17,1,1,1,0,5,0,N/A,16.786666666666665,4295.00,1.70,387.13352941176464,0.635,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,"Propanal,-2-methyl-",78-84-2,72.11,1,0,30,0,1,1,0,5,0,N/A,14.569999999999999,4150.00,N/A,513.00,0.841
1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,2-Butanone,78-93-3,72.11,1,0,38,0,1,1,0,5,0,9.99e-04,14.535789473684211,2223.0214285714287,3.30,225.58157894736843,0.985
2,2,1-Butanol,71-36-3,74.12,2,0,13,1,1,1,0,5,0,N/A,15.825454545454546,2408.181818181818,1.80,412.2173333333334,0.779,Chloridosulfuric-acid,7790-94-5,116.53,0,0,92,1,3,1,0,5,0,N/A,N/A,9841.90,N/A,546.81,0.028,Butyl-sulfuric-acid,15507-13-8,154.19,4,0,142,1,4,1,0,9,0,N/A,N/A,5312.41,N/A,614.03,0.606,Hydrogen-chloride,7647-01-0,36.46,0,0,0,1,0,1,0,1,0,N/A,20.175833333333333,1773.0,1.10,60.87875,0.422
1,2,"2-Propanol,-2-methyl-",75-65-0,74.12,0,0,25,1,1,1,0,5,0,N/A,15.126250000000002,1676.3333333333333,1.70,213.38684210526313,0.777,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1-Propene,-2-methyl-",115-11-7,56.11,0,0,23,0,0,1,0,4,0,N/A,12.086923076923076,1412.3776470588234,0.50,139.51238095238097,1.582,Water,7732-18-5,18.015,0,0,0,1,1,1,0,1,0,N/A,18.532187500000003,5225.368421052632,1.80,647.14,N/A
2,2,1-Butanol,71-36-3,74.12,2,0,13,1,1,1,0,5,0,N/A,15.825454545454546,2408.181818181818,1.80,412.2173333333334,0.779,2-Propenoic-acid,79-10-7,72.06,1,0,55,1,2,1,0,5,0,N/A,10.645,5456.365,2692.5766666666664,231.01750000000004,0.257,"2-Propenoic-acid,-butyl-ester",141-32-2,128.17,5,0,97,0,2,1,0,9,0,N/A,N/A,3690.0,5960.0,644.00 ± 3.00,1.516,Water,7732-18-5,18.015,0,0,0,1,1,1,0,1,0,N/A,18.532187500000003,5225.368421052632,1.80,647.14,N/A
2,2,thiophenoxide-anion,13133-62-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5087.49,N/A,669.59,1.592,1-Butanol,71-36-3,74.12,2,0,13,1,1,1,0,5,0,N/A,15.825454545454546,2408.181818181818,1.80,412.2173333333334,0.779,thiophenoxide-anion,13133-62-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5087.49,N/A,669.59,1.592,1-Butanol,71-36-3,74.12,2,0,13,1,1,1,0,5,0,N/A,15.825454545454546,2408.181818181818,1.80,412.2173333333334,0.779
2,2,"Acetic-acid,-butyl-ester",123-86-4,116.16,4,0,68,0,2,1,0,8,0,N/A,15.835999999999999,1940.0,1.80,407.81428571428575,1.350,Water,7732-18-5,18.015,0,0,0,1,1,1,0,1,0,N/A,18.532187500000003,5225.368421052632,1.80,647.14,N/A,Acetic-acid,64-19-7,60.05,0,0,31,1,2,1,0,4,0,N/A,14.873,2002.5923076923077,1.30,592.71,0.091,1-Butanol,71-36-3,74.12,2,0,13,1,1,1,0,5,0,N/A,15.825454545454546,2408.181818181818,1.80,412.2173333333334,0.779
2,1,"Benzene,-isocyanato-",103-71-9,119.12,1,0,121,0,2,1,0,9,0,N/A,12.416,4270.0,1868.5714285714287,675.00 ± 3.00,1.654,1-Butanol,71-36-3,74.12,2,0,13,1,1,1,0,5,0,N/A,15.825454545454546,2408.181818181818,1.80,412.2173333333334,0.779,"Carbamic-acid,-phenyl-,-butyl-ester",1538-74-5,193.24,5,0,165,1,2,1,0,14,0,N/A,N/A,2817.33,N/A,813.47,3.035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,"Propanal,-2-methyl-",78-84-2,72.11,1,0,30,0,1,1,0,5,0,N/A,14.569999999999999,4150.00,N/A,513.00,0.841,"1-Propanol,-2-methyl-",78-83-1,74.12,1,0,17,1,1,1,0,5,0,N/A,16.786666666666665,4295.00,1.70,387.13352941176464,0.635,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,Iodide,20461-54-5,126.9045,0,0,0,0,1,1,-1,1,0,N/A,N/A,N/A,N/A,N/A,-2.996,"2-Propanol,-2-methyl-",75-65-0,74.12,0,0,25,1,1,1,0,5,0,N/A,15.126250000000002,1676.3333333333333,1.70,213.38684210526313,0.777,Iodide,20461-54-5,126.9045,0,0,0,0,1,1,-1,1,0,N/A,N/A,N/A,N/A,N/A,-2.996,"2-Propanol,-2-methyl-",75-65-0,74.12,0,0,25,1,1,1,0,5,0,N/A,15.126250000000002,1676.3333333333333,1.70,213.38684210526313,0.777
2,2,Nitric-oxide-anion,14967-78-3,30.006,0,0,2,0,2,1,-1,2,0,N/A,N/A,N/A,N/A,N/A,0.322,Ethyl-ether,60-29-7,74.12,2,0,11,0,1,1,0,5,0,N/A,13.890909090909092,4126.962666666667,1.30,428.5770491803279,1.043,Nitric-oxide-anion,14967-78-3,30.006,0,0,2,0,2,1,-1,2,0,N/A,N/A,N/A,N/A,N/A,0.322,Ethyl-ether,60-29-7,74.12,2,0,11,0,1,1,0,5,0,N/A,13.890909090909092,4126.962666666667,1.30,428.5770491803279,1.043
2,2,Nitrogen-oxide-anion,14797-65-0,46.006,0,0,7,0,3,1,-1,3,0,N/A,N/A,7406.07,N/A,561.53,0.251,"2-Propanol,-2-methyl-",75-65-0,74.12,0,0,25,1,1,1,0,5,0,N/A,15.126250000000002,1676.3333333333333,1.70,213.38684210526313,0.777,Nitrogen-oxide-anion,14797-65-0,46.006,0,0,7,0,3,1,-1,3,0,N/A,N/A,7406.07,N/A,561.53,0.251,"2-Propanol,-2-methyl-",75-65-0,74.12,0,0,25,1,1,1,0,5,0,N/A,15.126250000000002,1676.3333333333333,1.70,213.38684210526313,0.777
