Reactant_Count,Product_Count,Reactant_Name_1,Reactant_ID_1,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Molar entropy at standard cconditions (1 bar),Solid phase molar entropy at standard conditions,Normal Boiling Point Temperature,Critical Temperature,Critical Volume,Enthalpy of formation at standard conditions,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,Complexity,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Reactant_Name_2,Reactant_ID_2,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Molar entropy at standard cconditions (1 bar),Solid phase molar entropy at standard conditions,Normal Boiling Point Temperature,Critical Temperature,Critical Volume,Enthalpy of formation at standard conditions,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,Complexity,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Product_Name_1,Product_ID_1,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Molar entropy at standard cconditions (1 bar),Solid phase molar entropy at standard conditions,Normal Boiling Point Temperature,Critical Temperature,Critical Volume,Enthalpy of formation at standard conditions,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,Complexity,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Product_Name_2,Product_ID_2,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Molar entropy at standard cconditions (1 bar),Solid phase molar entropy at standard conditions,Normal Boiling Point Temperature,Critical Temperature,Critical Volume,Enthalpy of formation at standard conditions,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,Complexity,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount
2,2,Phosgene,75-44-5,N/A,[11.20; 11.84],5674.00,1.10,N/A,N/A,280.71,455.15,0.190,[-221.10; -209.50],98.91,0,0,29,0,1,29,1,0,4,0,Water,7732-18-5,N/A,[11.80; 12.70],[22046.00; 22064.00],1.80,N/A,N/A,[372.90; 373.25],647.14,0.056,[-242.00; -241.83],18.015,0,0,0,1,1,0,1,0,1,0,Carbon dioxide,124-38-9,[-1.60; -0.60],[13.00; 13.90],[7340.00; 7420.00],0.00,N/A,N/A,194.70,[304.10; 304.35],[0.092; 0.094],[-393.80; -393.51],44.009,0,0,18,0,2,18,1,0,3,0,Hydrogen chloride,7647-01-0,N/A,[12.72; 12.79],[8256.00; 8310.00],1.10,N/A,N/A,188.00,[324.68; 324.70],0.081,[-92.36; -92.31],36.46,0,0,0,1,0,0,1,0,1,0
2,2,Phosgene,75-44-5,N/A,[11.20; 11.84],5674.00,1.10,N/A,N/A,280.71,455.15,0.190,[-221.10; -209.50],98.91,0,0,29,0,1,29,1,0,4,0,Water,7732-18-5,N/A,[11.80; 12.70],[22046.00; 22064.00],1.80,N/A,N/A,[372.90; 373.25],647.14,0.056,[-242.00; -241.83],18.015,0,0,0,1,1,0,1,0,1,0,Carbon dioxide,124-38-9,[-1.60; -0.60],[13.00; 13.90],[7340.00; 7420.00],0.00,N/A,N/A,194.70,[304.10; 304.35],[0.092; 0.094],[-393.80; -393.51],44.009,0,0,18,0,2,18,1,0,3,0,Hydrogen chloride,7647-01-0,N/A,[12.72; 12.79],[8256.00; 8310.00],1.10,N/A,N/A,188.00,[324.68; 324.70],0.081,[-92.36; -92.31],36.46,0,0,0,1,0,0,1,0,1,0
2,2,Phosgene,75-44-5,N/A,[11.20; 11.84],5674.00,1.10,N/A,N/A,280.71,455.15,0.190,[-221.10; -209.50],98.91,0,0,29,0,1,29,1,0,4,0,Water,7732-18-5,N/A,[11.80; 12.70],[22046.00; 22064.00],1.80,N/A,N/A,[372.90; 373.25],647.14,0.056,[-242.00; -241.83],18.015,0,0,0,1,1,0,1,0,1,0,Carbon dioxide,124-38-9,[-1.60; -0.60],[13.00; 13.90],[7340.00; 7420.00],0.00,N/A,N/A,194.70,[304.10; 304.35],[0.092; 0.094],[-393.80; -393.51],44.009,0,0,18,0,2,18,1,0,3,0,Hydrogen chloride,7647-01-0,N/A,[12.72; 12.79],[8256.00; 8310.00],1.10,N/A,N/A,188.00,[324.68; 324.70],0.081,[-92.36; -92.31],36.46,0,0,0,1,0,0,1,0,1,0
2,2,Phosgene,75-44-5,N/A,[11.20; 11.84],5674.00,1.10,N/A,N/A,280.71,455.15,0.190,[-221.10; -209.50],98.91,0,0,29,0,1,29,1,0,4,0,Water,7732-18-5,N/A,[11.80; 12.70],[22046.00; 22064.00],1.80,N/A,N/A,[372.90; 373.25],647.14,0.056,[-242.00; -241.83],18.015,0,0,0,1,1,0,1,0,1,0,Carbon dioxide,124-38-9,[-1.60; -0.60],[13.00; 13.90],[7340.00; 7420.00],0.00,N/A,N/A,194.70,[304.10; 304.35],[0.092; 0.094],[-393.80; -393.51],44.009,0,0,18,0,2,18,1,0,3,0,Hydrogen chloride,7647-01-0,N/A,[12.72; 12.79],[8256.00; 8310.00],1.10,N/A,N/A,188.00,[324.68; 324.70],0.081,[-92.36; -92.31],36.46,0,0,0,1,0,0,1,0,1,0
2,2,Trichloromethane,67-66-3,[0.62; 1.76],[11.30; 11.50],[5328.68; 5470.00],1.10,N/A,N/A,[333.95; 335.00],536.40,0.239,[-102.90; -101.30],119.37,0,0,8,0,0,8,1,0,4,0,Chlorine,7782-50-5,[1.02; 3.20],[11.48; 11.59],[7977.00; 7991.40],0.00,N/A,N/A,[239.11; 239.50],[416.90; 416.96],0.123,-74.81,70.90,0,0,0,0,0,0,1,0,2,0,Carbon Tetrachloride,56-23-5,[0.80; 2.12],[11.00; 11.69],[4493.00; 4557.60],0.00,N/A,N/A,[348.40; 419.40],[556.30; 558.35],0.276,[-125.00; -94.00],153.8,0,0,19,0,0,19,1,0,5,0,Hydrogen chloride,7647-01-0,N/A,[12.72; 12.79],[8256.00; 8310.00],1.10,N/A,N/A,188.00,[324.68; 324.70],0.081,[-92.36; -92.31],36.46,0,0,0,1,0,0,1,0,1,0
2,2,Trichloromethane,67-66-3,[0.62; 1.76],[11.30; 11.50],[5328.68; 5470.00],1.10,N/A,N/A,[333.95; 335.00],536.40,0.239,[-102.90; -101.30],119.37,0,0,8,0,0,8,1,0,4,0,Chlorine,7782-50-5,[1.02; 3.20],[11.48; 11.59],[7977.00; 7991.40],0.00,N/A,N/A,[239.11; 239.50],[416.90; 416.96],0.123,-74.81,70.90,0,0,0,0,0,0,1,0,2,0,Carbon Tetrachloride,56-23-5,[0.80; 2.12],[11.00; 11.69],[4493.00; 4557.60],0.00,N/A,N/A,[348.40; 419.40],[556.30; 558.35],0.276,[-125.00; -94.00],153.8,0,0,19,0,0,19,1,0,5,0,Hydrogen chloride,7647-01-0,N/A,[12.72; 12.79],[8256.00; 8310.00],1.10,N/A,N/A,188.00,[324.68; 324.70],0.081,[-92.36; -92.31],36.46,0,0,0,1,0,0,1,0,1,0
2,2,Trichloromethane,67-66-3,[0.62; 1.76],[11.30; 11.50],[5328.68; 5470.00],1.10,N/A,N/A,[333.95; 335.00],536.40,0.239,[-102.90; -101.30],119.37,0,0,8,0,0,8,1,0,4,0,Chlorine,7782-50-5,[1.02; 3.20],[11.48; 11.59],[7977.00; 7991.40],0.00,N/A,N/A,[239.11; 239.50],[416.90; 416.96],0.123,-74.81,70.90,0,0,0,0,0,0,1,0,2,0,Carbon Tetrachloride,56-23-5,[0.80; 2.12],[11.00; 11.69],[4493.00; 4557.60],0.00,N/A,N/A,[348.40; 419.40],[556.30; 558.35],0.276,[-125.00; -94.00],153.8,0,0,19,0,0,19,1,0,5,0,Hydrogen chloride,7647-01-0,N/A,[12.72; 12.79],[8256.00; 8310.00],1.10,N/A,N/A,188.00,[324.68; 324.70],0.081,[-92.36; -92.31],36.46,0,0,0,1,0,0,1,0,1,0
2,2,Trichloromethane,67-66-3,[0.62; 1.76],[11.30; 11.50],[5328.68; 5470.00],1.10,N/A,N/A,[333.95; 335.00],536.40,0.239,[-102.90; -101.30],119.37,0,0,8,0,0,8,1,0,4,0,Chlorine,7782-50-5,[1.02; 3.20],[11.48; 11.59],[7977.00; 7991.40],0.00,N/A,N/A,[239.11; 239.50],[416.90; 416.96],0.123,-74.81,70.90,0,0,0,0,0,0,1,0,2,0,Carbon Tetrachloride,56-23-5,[0.80; 2.12],[11.00; 11.69],[4493.00; 4557.60],0.00,N/A,N/A,[348.40; 419.40],[556.30; 558.35],0.276,[-125.00; -94.00],153.8,0,0,19,0,0,19,1,0,5,0,Hydrogen chloride,7647-01-0,N/A,[12.72; 12.79],[8256.00; 8310.00],1.10,N/A,N/A,188.00,[324.68; 324.70],0.081,[-92.36; -92.31],36.46,0,0,0,1,0,0,1,0,1,0
