Reactant_Count,Product_Count,Reactant_Name_1,Reactant_ID_1,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Reactant_Name_2,Reactant_ID_2,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Product_Name_1,Product_ID_1,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Product_Name_2,Product_ID_2,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient
2,1,"1,3-Butadiene",106-99-0,54.09,1,0,21,0,0,1,0,4,0,N/A,12.691500000000003,589.0909090909091,0.00,68.0,1.358,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,Butane,106-97-8,58.12,1,0,2,0,0,1,0,4,0,N/A,16.696875,421.27777777777777,0.00,335.6499999999999,1.806,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,1-Butene,106-98-9,56.11,1,0,14,0,0,1,0,4,0,N/A,14.41875,1003.2549999999999,0.30,104.68333333333334,1.582,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,Butane,106-97-8,58.12,1,0,2,0,0,1,0,4,0,N/A,16.696875,421.27777777777777,0.00,335.6499999999999,1.806,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,"1-Propene,-2-methyl-",115-11-7,56.11,0,0,23,0,0,1,0,4,0,N/A,12.086923076923076,1412.3776470588234,0.50,139.51238095238097,1.582,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,Isobutane,75-28-5,58.12,0,0,4,0,0,1,0,4,0,N/A,12.715454545454543,966.4,0.10,47.97,1.662,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,1,Butane,106-97-8,58.12,1,0,2,0,0,1,0,4,0,N/A,16.696875,421.27777777777777,0.00,335.6499999999999,1.806,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Isobutane,75-28-5,58.12,0,0,4,0,0,1,0,4,0,N/A,12.715454545454543,966.4,0.10,47.97,1.662,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,1-Buten-3-yne,689-97-4,52.07,0,0,51,0,0,1,0,4,0,N/A,14.092727272727274,4960.00,N/A,455.00,0.806,Butane,106-97-8,58.12,1,0,2,0,0,1,0,4,0,N/A,16.696875,421.27777777777777,0.00,335.6499999999999,1.806,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,2-Butyne,503-17-3,54.09,0,0,42,0,0,1,0,4,0,N/A,12.317142857142859,5080.00,0.80,488.70,1.030,Butane,106-97-8,58.12,1,0,2,0,0,1,0,4,0,N/A,16.696875,421.27777777777777,0.00,335.6499999999999,1.806,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,"2-Butene,-(Z)-",590-18-1,56.11,0,1,15,0,0,1,0,4,0,N/A,12.028947368421052,765.5681818181819,0.30,100.51076923076923,1.582,Butane,106-97-8,58.12,1,0,2,0,0,1,0,4,0,N/A,16.696875,421.27777777777777,0.00,335.6499999999999,1.806,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,"2-Butene,-(E)-",624-64-6,56.11,0,1,15,0,0,1,0,4,0,N/A,11.819411764705883,810.615,0.00,107.15208333333332,1.582,Butane,106-97-8,58.12,1,0,2,0,0,1,0,4,0,N/A,16.696875,421.27777777777777,0.00,335.6499999999999,1.806,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
